"","Target","KNN","Lasso","SVM"
"115",1,1,0.99996040045909,1.29720555230366
"116",0,0,0.00144922146375573,-0.0246152826955166
"117",0,0,0.0487548753867229,0.343486576280431
"118",1,1,0.989527167661793,0.854442167461674
"119",1,0.4,0.990368490674274,0.865360046874263
"120",0,0,0.0629168876539509,0.381146360918312
"121",1,1,0.99943986705683,0.882378477549229
"122",0,0,0.076096974435224,0.133851783455261
"123",1,1,0.999261786237896,1.02961860676712
"124",1,0.8,0.999546013438053,1.08695050393618
"125",0,0,0.0128493833776475,0.16374351372473
"126",0,0,0.00268537810161537,0.0771336273550292
"127",0,0,0.0594376009139858,0.092652885774247
"128",1,1,0.999741472234604,1.0145101215644
"129",1,1,0.999600447543383,0.991725606647099
"130",1,1,0.999906199195842,1.11682640094161
"131",0,0,0.0102780840270306,0.101212599434509
"132",1,0.6,0.982306324420668,0.93668633187409
"133",0,0,0.0208222664416003,0.14040224485979
"134",1,1,0.999690165116875,1.08627011474384
"135",1,0.166666666666667,0.99986291675205,1.13439754077554
"136",1,1,0.999890128968556,1.03651104407695
"137",1,1,0.997197653733182,0.922139004283484
"138",1,1,0.999679341782199,1.10181637564007
"139",1,1,0.997588776826516,1.01255228882373
"140",0,0,0.0539475795625445,0.168386534397944
"141",1,1,0.998208853010572,0.929528878958199
"142",1,1,0.99938397849694,1.10565789409836
"143",1,0.2,0.942301747321834,0.724558934815041
"144",1,1,0.964767998321022,1.00643562516396
"145",1,1,0.99881188256688,1.04370849216146
"146",1,0.285714285714286,0.92109017850647,0.767162865491902
"147",1,0.8,0.982189152255345,0.845080522636839
"148",0,0.4,0.0136976942855842,0.212486335719849
"149",0,0,0.0561591561199039,0.156740484925767
"150",0,0,0.00430368943658545,0.0614860059757989
"151",0,0,0.0423359426139146,0.212042307332173
"152",0,0,0.0727061491235138,0.175281221189995
"153",1,1,0.968429409611594,0.92374296463925
"154",1,1,0.887454781998509,0.877318665488549
"155",0,0,0.0550354555997704,0.130126179775393
"156",1,0.5,0.986249294407226,1.03576066264937
"157",1,1,0.937483160976776,0.849929973497244
"158",1,0.571428571428571,0.967539547519425,0.74054918483633
"159",0,0.333333333333333,0.0161236304812958,0.211831012931943
"160",1,1,0.979260650427135,0.85575791346847
"161",1,1,0.932983893028759,0.832535879382836
"162",0,0,0.0137690028087084,0.118200694344599
"163",0,0,0.0670795055074198,0.208762764716956
"164",0,0,0.0104295661716524,0.0990120250897251
"165",1,1,0.672627144991011,0.766445359951921
"166",0,0,0.0822798787521573,0.303547246371498
"167",0,0.4,0.194837259713143,0.326803395159719
"168",1,1,0.803632139613615,0.749529974452604
"169",0,0,0.0500629820168212,0.212297971013929
"170",1,0.6,0.999843474769967,1.04223503814867
"171",1,0.8,0.910607655185275,0.768046248348118
"172",0,0,0.0323036602803547,0.123514005046151
"173",1,1,0.997221264362131,0.950787777587554
"174",1,0.571428571428571,0.880795467421766,0.719767213287374
"175",1,0.8,0.998624967082804,0.765847465701914
"176",0,0.2,0.0322091865519865,0.220355254091847
"177",0,0,0.0176369648158568,0.0849526285495772
"178",1,1,0.99159926823355,0.979943469028176
"179",0,0,0.0541858856668975,0.0494475430487755
"180",0,0,0.00609290787787005,0.139686298899751
"181",0,0,0.0023355942403496,0.115720744494713
"182",1,1,0.876969604340536,0.807458777427162
"183",0,0,0.00367730717948219,0.219143788178617
"184",1,1,0.892832537172578,0.725332006628297
"185",0,0,0.0044266039296416,0.0253190362332179
"186",0,0.666666666666667,0.0256898983922583,0.0886849098878217
"187",1,0.8,0.995072765117502,0.905305585352626
"188",0,0.4,0.130422938961087,0.27743985176608
"189",0,0,0.0622073097133666,0.128028781708854
"190",1,0.333333333333333,0.748124981275251,0.738607102804768
"191",0,0,0.0100000284469961,0.197086302364544
"192",1,1,0.991405492188834,0.932578272866512
"193",0,0,0.0411335865822395,0.281291970272439
"194",1,1,0.99917022479782,0.939115989350829
"195",0,0,0.0352955826121688,0.129469311992669
"196",1,1,0.666994300515369,0.70448255110134
"197",1,1,0.929064525254945,0.87164159036296
"198",1,1,0.336031964169738,0.684397901868526
"199",1,1,0.99368521871564,1.04082784367664
"200",0,0,0.00379917961352937,0.109022840159558
"201",0,0,0.00233760597657567,0.018236651693333
"202",1,1,0.990746302025265,0.856566562440894
"203",1,1,0.972623924492354,0.873357439938421
"204",1,1,0.98984324555763,0.898415482851793
"205",0,0,0.0208673808954512,0.0918693228585896
"206",0,0,0.0206717959764058,0.173030531262317
"207",1,0.8,0.984903926633954,0.878982578930452
"208",1,1,0.992967477388422,0.94491690239956
"209",1,1,0.995581004982608,0.955557426761747
"210",0,0,0.029088338325403,0.0440841078671399
"211",0,0.8,0.714408512435143,0.508397619210688
"212",0,0.6,0.438032050034522,0.22855918928379
"213",0,0,0.00840269139927939,0.147133474163842
"214",1,1,0.914589875935458,0.836748266448955
"215",1,1,0.996948768892815,0.972422020304582
"216",0,1,0.776557370256318,0.414419742342877
"217",0,0,0.182533074158554,0.236854060618147
"218",0,0.2,0.00104117353995966,0.153065201479355
"219",1,1,0.999748178446024,1.00547641129291
"220",1,1,0.805842171813411,0.806059625518817
"221",1,1,0.996268022670773,1.04431830039811
"222",0,0,0.00615277141214385,0.102047782782013
"223",0,0.2,0.579019041258699,0.315464462905131
"224",1,1,0.985193001544849,1.0325570570891
"225",1,1,0.945258578076005,0.850631416989917
"226",0,0,0.00580052596271648,0.159531900487754
"227",1,1,0.994924575460215,0.990651818118569
"228",1,0.8,0.929832015791984,0.767410692119772
"229",1,1,0.997629716395062,1.1164223435488
"230",0,0,0.0538129633679742,0.161031417530585
"231",1,1,0.995982589805797,0.872498928648445
"232",1,0,0.653106704891649,0.678554908293767
"233",1,1,0.995532083328989,1.06695853239359
"234",0,0,0.0639564537959934,0.181764592753898
"235",1,0.6,0.988658549311996,0.899099540987653
"236",1,1,0.988776666146831,0.877767072719057
"237",0,0,0.0727963045319754,0.174048629663223
"238",0,0,0.0500158562881518,0.217718380340433
"239",1,1,0.998188308077588,1.028160922012
"240",1,0.285714285714286,0.891015963934716,0.742389927385436
"241",1,0.571428571428571,0.980765076442736,0.841605714480214
"242",1,1,0.946590814172213,0.805737041526219
"243",1,1,0.999958495389078,0.966703872055892
"244",1,0,0.996135943740746,0.95831918638702
"245",1,0.5,0.927913666497672,0.732679578272543
"246",1,0.5,0.798504393269942,0.780814697185169
"247",1,0.4,0.975316095103971,0.799890915683737
"248",0,0,0.206279333421012,0.199914915600179
"249",1,0.5,0.976787563896359,0.787135061991724
"250",1,0.5,0.337589845732226,0.693180283236548
"251",0,0,0.0840180685819483,0.073053651168796
"252",0,0.8,0.0389965187426791,-0.0104368419842116
"253",0,0,0.031006029430859,0.116691797592215
"254",1,0.8,0.992378248412425,0.656062736707942
"255",0,0,0.034187195643573,0.0797297272546063
"256",1,1,0.956578603776503,0.78226017415246
"257",1,0.4,0.999780170781225,0.903204910457565
"258",0,0,0.00110093058299145,0.098555005289886
"259",1,0.8,0.999028927044811,0.899462962754844
"260",0,0,0.00155181055998819,0.0764649264223509
"261",1,0.333333333333333,0.999461406778366,0.830439582591016
"262",0,0,0.0366674310464116,0.308508982010356
"263",0,0,0.00252609126602767,0.160434425181042
"264",1,1,0.600159961565208,0.731607089546633
"265",1,0.6,0.997973839961744,0.898728708317099
"266",1,1,0.820249390750218,0.73290551279553
"267",0,0.2,0.152077591818844,0.147097091076181
"268",0,0.428571428571429,0.017974075026813,0.222049296269025
"269",0,0,0.149537949835456,0.0608096134680141
"270",0,0,0.00377217228613437,0.0540164100314557
"271",1,1,0.998292518554799,0.905022439998608
"272",0,0.666666666666667,0.0591304550997582,0.050082075790816
"273",1,1,0.999957373777212,1.32811950260124
"274",0,0.666666666666667,0.0708505179216296,0.0723665505812123
"275",0,0,0.00330484489493264,0.0695280380156804
"276",0,0,0.00579082672675427,0.170018807942644
"277",1,0.857142857142857,0.992079615374448,0.852705871285896
"278",1,1,0.999552395935864,1.00037011060633
"279",1,1,0.997128442511745,0.941314582847657
"280",1,1,0.996582775055792,1.00945905507962
"281",0,0,0.0224412082122439,0.144040280318937
"282",0,0,0.00788863704235857,-0.0125503611409199
"283",0,0,0.727484589146103,0.24693601388329
